Iteration 155, time = 166s, loss_lab = 0.0319, loss_unl = 0.4913, train err = 0.0041, test err = 0.3562
Iteration 156, time = 165s, loss_lab = 0.0321, loss_unl = 0.4885, train err = 0.0045, test err = 0.3555
Iteration 157, time = 165s, loss_lab = 0.0325, loss_unl = 0.4887, train err = 0.0048, test err = 0.3543
Iteration 158, time = 166s, loss_lab = 0.0313, loss_unl = 0.4818, train err = 0.0043, test err = 0.3531
Iteration 159, time = 166s, loss_lab = 0.0316, loss_unl = 0.4808, train err = 0.0040, test err = 0.3529
Iteration 160, time = 165s, loss_lab = 0.0310, loss_unl = 0.4797, train err = 0.0043, test err = 0.3526
Iteration 161, time = 165s, loss_lab = 0.0317, loss_unl = 0.4809, train err = 0.0046, test err = 0.3521
Iteration 162, time = 166s, loss_lab = 0.0309, loss_unl = 0.4785, train err = 0.0042, test err = 0.3526
Iteration 163, time = 165s, loss_lab = 0.0316, loss_unl = 0.4816, train err = 0.0045, test err = 0.3521
Iteration 164, time = 165s, loss_lab = 0.0310, loss_unl = 0.4786, train err = 0.0044, test err = 0.3511
Iteration 165, time = 165s, loss_lab = 0.0307, loss_unl = 0.4776, train err = 0.0045, test err = 0.3495
Iteration 166, time = 165s, loss_lab = 0.0302, loss_unl = 0.4765, train err = 0.0040, test err = 0.3498
Iteration 167, time = 165s, loss_lab = 0.0291, loss_unl = 0.4757, train err = 0.0042, test err = 0.3500
Iteration 168, time = 164s, loss_lab = 0.0309, loss_unl = 0.4774, train err = 0.0048, test err = 0.3514
Iteration 169, time = 165s, loss_lab = 0.0303, loss_unl = 0.4768, train err = 0.0044, test err = 0.3510
Iteration 170, time = 165s, loss_lab = 0.0296, loss_unl = 0.4733, train err = 0.0039, test err = 0.3500
Iteration 171, time = 165s, loss_lab = 0.0296, loss_unl = 0.4727, train err = 0.0039, test err = 0.3502
Iteration 172, time = 165s, loss_lab = 0.0300, loss_unl = 0.4752, train err = 0.0042, test err = 0.3505
Iteration 173, time = 165s, loss_lab = 0.0297, loss_unl = 0.4739, train err = 0.0042, test err = 0.3508
Iteration 174, time = 166s, loss_lab = 0.0297, loss_unl = 0.4748, train err = 0.0042, test err = 0.3518
Iteration 175, time = 165s, loss_lab = 0.0290, loss_unl = 0.4674, train err = 0.0039, test err = 0.3519
Iteration 176, time = 165s, loss_lab = 0.0290, loss_unl = 0.4689, train err = 0.0041, test err = 0.3514
Iteration 177, time = 165s, loss_lab = 0.0289, loss_unl = 0.4656, train err = 0.0038, test err = 0.3498
Iteration 178, time = 165s, loss_lab = 0.0284, loss_unl = 0.4726, train err = 0.0032, test err = 0.3482
Iteration 179, time = 164s, loss_lab = 0.0292, loss_unl = 0.4711, train err = 0.0037, test err = 0.3491
Iteration 180, time = 165s, loss_lab = 0.0288, loss_unl = 0.4688, train err = 0.0040, test err = 0.3491
Iteration 181, time = 165s, loss_lab = 0.0289, loss_unl = 0.4707, train err = 0.0040, test err = 0.3499
Iteration 182, time = 165s, loss_lab = 0.0296, loss_unl = 0.4680, train err = 0.0042, test err = 0.3506
Iteration 183, time = 165s, loss_lab = 0.0296, loss_unl = 0.4695, train err = 0.0044, test err = 0.3504
Iteration 184, time = 165s, loss_lab = 0.0296, loss_unl = 0.4668, train err = 0.0046, test err = 0.3490
Iteration 185, time = 165s, loss_lab = 0.0303, loss_unl = 0.4657, train err = 0.0044, test err = 0.3491
Iteration 186, time = 166s, loss_lab = 0.0301, loss_unl = 0.4656, train err = 0.0044, test err = 0.3483
Iteration 187, time = 165s, loss_lab = 0.0286, loss_unl = 0.4640, train err = 0.0039, test err = 0.3476
Iteration 188, time = 165s, loss_lab = 0.0276, loss_unl = 0.4634, train err = 0.0037, test err = 0.3468
Iteration 189, time = 165s, loss_lab = 0.0283, loss_unl = 0.4636, train err = 0.0042, test err = 0.3453
Iteration 190, time = 165s, loss_lab = 0.0279, loss_unl = 0.4604, train err = 0.0040, test err = 0.3446
Iteration 191, time = 165s, loss_lab = 0.0284, loss_unl = 0.4601, train err = 0.0040, test err = 0.3442
Iteration 192, time = 165s, loss_lab = 0.0272, loss_unl = 0.4599, train err = 0.0036, test err = 0.3425
Iteration 193, time = 165s, loss_lab = 0.0263, loss_unl = 0.4587, train err = 0.0031, test err = 0.3429
Iteration 194, time = 165s, loss_lab = 0.0272, loss_unl = 0.4542, train err = 0.0043, test err = 0.3431
Iteration 195, time = 164s, loss_lab = 0.0264, loss_unl = 0.4553, train err = 0.0031, test err = 0.3432
Iteration 196, time = 164s, loss_lab = 0.0260, loss_unl = 0.4550, train err = 0.0034, test err = 0.3435
Iteration 197, time = 165s, loss_lab = 0.0277, loss_unl = 0.4531, train err = 0.0041, test err = 0.3432
Iteration 198, time = 166s, loss_lab = 0.0261, loss_unl = 0.4511, train err = 0.0036, test err = 0.3434
Iteration 199, time = 165s, loss_lab = 0.0266, loss_unl = 0.4492, train err = 0.0038, test err = 0.3431
Iteration 200, time = 165s, loss_lab = 0.0273, loss_unl = 0.4502, train err = 0.0038, test err = 0.3416
Iteration 201, time = 165s, loss_lab = 0.0276, loss_unl = 0.4523, train err = 0.0037, test err = 0.3407
Iteration 202, time = 165s, loss_lab = 0.0277, loss_unl = 0.4557, train err = 0.0042, test err = 0.3407
Iteration 203, time = 165s, loss_lab = 0.0273, loss_unl = 0.4563, train err = 0.0040, test err = 0.3397
Iteration 204, time = 165s, loss_lab = 0.0273, loss_unl = 0.4544, train err = 0.0033, test err = 0.3390
Iteration 205, time = 165s, loss_lab = 0.0273, loss_unl = 0.4529, train err = 0.0039, test err = 0.3391
Iteration 206, time = 165s, loss_lab = 0.0268, loss_unl = 0.4504, train err = 0.0037, test err = 0.3394
Iteration 207, time = 165s, loss_lab = 0.0269, loss_unl = 0.4543, train err = 0.0040, test err = 0.3398
Iteration 208, time = 165s, loss_lab = 0.0275, loss_unl = 0.4523, train err = 0.0040, test err = 0.3396
Iteration 209, time = 164s, loss_lab = 0.0262, loss_unl = 0.4468, train err = 0.0036, test err = 0.3399
Iteration 210, time = 165s, loss_lab = 0.0266, loss_unl = 0.4476, train err = 0.0037, test err = 0.3394
Iteration 211, time = 165s, loss_lab = 0.0258, loss_unl = 0.4469, train err = 0.0032, test err = 0.3394
Iteration 212, time = 165s, loss_lab = 0.0262, loss_unl = 0.4467, train err = 0.0039, test err = 0.3393
Iteration 213, time = 165s, loss_lab = 0.0267, loss_unl = 0.4448, train err = 0.0040, test err = 0.3392
Iteration 214, time = 165s, loss_lab = 0.0263, loss_unl = 0.4469, train err = 0.0037, test err = 0.3392
Iteration 215, time = 165s, loss_lab = 0.0253, loss_unl = 0.4419, train err = 0.0033, test err = 0.3380
Iteration 216, time = 165s, loss_lab = 0.0257, loss_unl = 0.4422, train err = 0.0035, test err = 0.3378
Iteration 217, time = 165s, loss_lab = 0.0259, loss_unl = 0.4408, train err = 0.0041, test err = 0.3376
Iteration 218, time = 165s, loss_lab = 0.0263, loss_unl = 0.4457, train err = 0.0035, test err = 0.3358
Iteration 219, time = 165s, loss_lab = 0.0262, loss_unl = 0.4398, train err = 0.0038, test err = 0.3341
Iteration 220, time = 165s, loss_lab = 0.0260, loss_unl = 0.4386, train err = 0.0038, test err = 0.3339
Iteration 221, time = 165s, loss_lab = 0.0254, loss_unl = 0.4413, train err = 0.0039, test err = 0.3341
Iteration 222, time = 165s, loss_lab = 0.0252, loss_unl = 0.4384, train err = 0.0035, test err = 0.3335
Iteration 223, time = 165s, loss_lab = 0.0245, loss_unl = 0.4355, train err = 0.0033, test err = 0.3329
Iteration 224, time = 165s, loss_lab = 0.0253, loss_unl = 0.4368, train err = 0.0035, test err = 0.3327
Iteration 225, time = 165s, loss_lab = 0.0245, loss_unl = 0.4345, train err = 0.0036, test err = 0.3323
Iteration 226, time = 165s, loss_lab = 0.0244, loss_unl = 0.4368, train err = 0.0030, test err = 0.3325
Iteration 227, time = 166s, loss_lab = 0.0238, loss_unl = 0.4345, train err = 0.0032, test err = 0.3311
Iteration 228, time = 164s, loss_lab = 0.0247, loss_unl = 0.4323, train err = 0.0035, test err = 0.3307
Iteration 229, time = 165s, loss_lab = 0.0248, loss_unl = 0.4278, train err = 0.0033, test err = 0.3305
Iteration 230, time = 165s, loss_lab = 0.0245, loss_unl = 0.4311, train err = 0.0031, test err = 0.3304
Iteration 231, time = 165s, loss_lab = 0.0252, loss_unl = 0.4336, train err = 0.0036, test err = 0.3304
Iteration 232, time = 165s, loss_lab = 0.0243, loss_unl = 0.4320, train err = 0.0033, test err = 0.3296
Iteration 233, time = 165s, loss_lab = 0.0250, loss_unl = 0.4316, train err = 0.0037, test err = 0.3292
